Date,Ave. T. (oC),Max. T. (oC),Min. T. (oC),Prec. (mm),S.L.Press./ Gheopot.,Wind dir,Wind sp. (Km/h),Cloud c.
31/05/2022,20.6,21.7,19.5,-,1006.9 Hpa,327o(NW),24,8/8
30/05/2022,20.9,22.7,19.0,-,1010.2 Hpa,326o(NW),18,7/8
29/05/2022,21.3,22.7,19.9,-,1007.7 Hpa,311o(NW),19,8/8
28/05/2022,19.4,21.5,17.3,-,1007.1 Hpa,24o(NE),29,7/8
27/05/2022,19.1,21.2,17.1,-,1016.3 Hpa,94o(E),32,8/8
26/05/2022,18.6,20.4,16.8,-,1018.2 Hpa,102o(E),28,6/8
25/05/2022,18.2,19.3,17.2,-,1018.0 Hpa,100o(E),26,7/8
24/05/2022,18.1,20.5,15.6,-,1020.8 Hpa,119o(SE),20,7/8
23/05/2022,17.4,18.9,15.9,-,1019.0 Hpa,115o(SE),21,8/8
22/05/2022,18.2,20.2,16.2,-,1019.0 Hpa,113o(SE),17,7/8
21/05/2022,18.9,20.6,17.3,-,1021.2 Hpa,129o(SE),18,6/8
20/05/2022,20.3,22.0,18.6,-,1022.0 Hpa,149o(SE),21,7/8
19/05/2022,20.9,23.7,18.2,-,1019.4 Hpa,246o(SW),10,7/8
18/05/2022,21.3,24.2,18.4,-,1019.0 Hpa,351o(N),8,5/8
17/05/2022,20.9,23.7,18.1,-,1019.9 Hpa,355o(N),9,6/8
16/05/2022,19.1,22.5,15.6,-,1020.1 Hpa,25o(NE),11,7/8
15/05/2022,19.7,22.6,16.8,-,1019.3 Hpa,48o(NE),11,8/8
14/05/2022,19.8,21.2,18.4,-,1021.3 Hpa,82o(E),14,7/8
13/05/2022,19.5,21.2,17.8,-,1024.5 Hpa,86o(E),22,7/8
12/05/2022,19.6,21.9,17.2,-,1026.2 Hpa,96o(E),24,6/8
11/05/2022,20.4,22.4,18.3,-,1025.0 Hpa,106o(E),25,3/8
10/05/2022,19.9,22.2,17.6,-,1022.8 Hpa,141o(SE),19,5/8
09/05/2022,20.2,23.3,17.1,-,1022.4 Hpa,183o(S),4,8/8
08/05/2022,20.4,23.0,17.9,-,1023.2 Hpa,66o(NE),10,6/8
07/05/2022,21.2,23.5,19.0,-,1024.2 Hpa,83o(E),19,4/8
06/05/2022,21.4,23.6,19.2,-,1023.0 Hpa,92o(E),23,6/8
05/05/2022,21.4,23.5,19.4,-,1020.2 Hpa,91o(E),22,6/8
04/05/2022,21.1,23.2,19.1,-,1017.8 Hpa,95o(E),24,6/8
03/05/2022,21.6,23.8,19.3,-,1018.0 Hpa,93o(E),25,7/8
02/05/2022,22.3,24.3,20.3,-,1018.9 Hpa,85o(E),27,8/8
01/04/2003,22.4,25.5,12.2,-,1022.9 Hpa,80o(E),25,8/9